Member,Tension,Shear Force,Displacement,Elongation,Moment,Rotation,@,Moment,Rotation,@
ID,N,N,mm,mm,Nmm,rad,Node,Nmm,rad,Node
0,0.135,0.550,0.000,0.000,4.204,0.000,0,-2.554,-0.000,1
1,0.135,0.450,0.000,0.000,2.554,-0.000,1,-1.204,-0.000,2
2,0.135,0.350,0.001,0.000,1.204,-0.000,2,-0.153,-0.000,3
3,0.135,0.250,0.001,0.000,0.153,-0.000,3,0.847,-0.000,4
4,0.135,0.150,0.000,0.000,-0.847,-0.000,4,1.297,-0.000,5
5,0.135,0.050,0.000,0.000,-1.297,-0.000,5,1.448,-0.000,6
6,0.135,-0.050,0.000,0.000,-1.448,-0.000,6,1.298,-0.000,7
7,0.135,-0.150,0.000,0.000,-1.298,-0.000,7,0.848,-0.000,8
8,1.740,0.227,0.000,0.000,2.806,0.000,9,-2.126,-0.000,10
9,1.740,0.227,0.000,0.000,2.126,-0.000,10,-1.445,-0.000,11
10,1.740,0.227,0.000,0.000,1.445,-0.000,11,-0.765,-0.000,12
11,1.740,0.227,0.001,0.000,0.765,-0.000,12,0.142,-0.000,13
12,1.740,0.227,0.001,0.000,-0.142,-0.000,13,0.823,-0.000,14
13,1.740,0.227,0.000,0.000,-0.823,-0.000,14,1.503,-0.000,15
14,1.740,0.227,0.000,0.000,-1.503,-0.000,15,2.184,-0.000,16
15,1.740,0.227,0.000,0.000,-2.184,-0.000,16,2.864,0.000,17
16,-1.397,0.514,0.000,-0.000,7.945,0.000,18,-6.404,-0.000,19
17,-1.397,0.514,0.000,-0.000,6.404,-0.000,19,-4.863,-0.000,20
18,-1.397,0.514,0.000,-0.000,4.863,-0.000,20,-3.322,-0.000,21
19,-1.397,0.514,0.001,-0.000,3.322,-0.000,21,-1.267,-0.000,22
20,-1.397,0.514,0.000,-0.000,1.267,-0.000,22,0.274,-0.000,23
21,-1.397,0.514,0.000,-0.000,-0.274,-0.000,23,1.815,-0.000,24
22,-1.397,0.514,0.000,-0.000,-1.815,-0.000,24,3.356,-0.000,25
23,-1.397,0.514,0.000,-0.000,-3.356,-0.000,25,4.897,-0.000,26
24,0.478,0.491,0.000,0.000,1.838,-0.000,26,-0.366,-0.000,27
25,0.478,0.391,0.000,0.000,0.366,-0.000,27,0.805,-0.000,28
26,0.478,0.291,0.000,0.000,-0.805,-0.000,28,1.677,-0.000,29
27,0.478,0.191,0.000,0.000,-1.677,-0.000,29,2.440,-0.000,30
28,0.478,0.091,0.000,0.000,-2.440,-0.000,30,2.711,-0.000,31
29,0.478,-0.009,0.000,0.000,-2.711,-0.000,31,2.683,-0.000,32
30,0.478,-0.109,0.000,0.000,-2.683,-0.000,32,2.355,-0.000,33
31,0.478,-0.209,0.000,0.000,-2.355,-0.000,33,1.727,0.000,34
32,0.508,0.116,0.000,0.000,2.660,0.000,35,-2.313,-0.000,36
33,0.508,0.116,0.000,0.000,2.313,-0.000,36,-1.966,-0.000,37
34,0.508,0.116,0.000,0.000,1.966,-0.000,37,-1.619,-0.000,38
35,0.508,0.116,0.000,0.000,1.619,-0.000,38,-1.157,-0.000,39
36,0.508,0.116,0.000,0.000,1.157,-0.000,39,-0.810,-0.000,40
